"country","year","continent","region","years_education","gdp","life_expectancy","infant_mortality_rate","income_class"
"Germany",2013,"Europe","Western Europe",13.97443,46285.76407,80.49024,3.3,"H"
"Germany",2014,"Europe","Western Europe",14.10672,47959.99327,81.09024,3.3,"H"
"Germany",2015,"Europe","Western Europe",14.1536,41139.54457,80.64146,3.2,"H"
"Germany",2016,"Europe","Western Europe",14.20745,42098.92045,80.99024,3.2,"H"
"Dominican Republic",2013,"Americas","Caribbean",7.63264,6238.133097,72.763,27.1,"UM"
"Dominican Republic",2014,"Americas","Caribbean",7.77613,6608.832257,73.003,26.6,"UM"
"Dominican Republic",2015,"Americas","Caribbean",7.85017,6921.517371,73.241,26,"UM"
"Dominican Republic",2016,"Americas","Caribbean",9.05603,7280.873164,73.471,25.4,"UM"
"Australia",2013,"Oceania","Australia and New Zealand",12.04686,68150.10704,82.14878,3.5,"H"
"Australia",2014,"Oceania","Australia and New Zealand",12.1965,62510.79117,82.3,3.3,"H"
"Australia",2015,"Oceania","Australia and New Zealand",12.27517,56755.72171,82.4,3.2,"H"
"Australia",2016,"Oceania","Australia and New Zealand",12.38612,49971.13146,82.44878,3.2,"H"
"Australia",2017,"Oceania","Australia and New Zealand",12.36087,54066.47127,82.49756,3.1,"H"
"Lithuania",2013,"Europe","Northern Europe",12.75512,15705.16399,73.91463,4.1,"H"
"Lithuania",2014,"Europe","Northern Europe",12.9203,16534.48198,74.51707,4,"H"
"Lithuania",2015,"Europe","Northern Europe",13.07721,14249.11497,74.32195,4,"H"
"Lithuania",2016,"Europe","Northern Europe",13.22189,14999.47964,74.67073,3.8,"H"
"Lithuania",2017,"Europe","Northern Europe",13.30318,16840.93857,74.67073,3.6,"H"
"Paraguay",2013,"Americas","South America",8.35537,5926.832863,73.274,20.1,"LM"
"Paraguay",2014,"Americas","South America",8.31,6102.943233,73.473,19.5,"UM"
"Paraguay",2015,"Americas","South America",8.58692,5406.703857,73.662,18.9,"UM"
"Paraguay",2016,"Americas","South America",8.41666,5319.410218,73.836,18.4,"UM"
"Qatar",2013,"Asia","Western Asia",9.92671,85050.91097,79.527,7.2,"H"
"Qatar",2014,"Asia","Western Asia",9.84677,83858.52838,79.646,7,"H"
"Qatar",2016,"Asia","Western Asia",9.66884,57163.06099,79.868,6.4,"H"
"Qatar",2017,"Asia","Western Asia",9.73144,61264.39648,79.981,6.1,"H"
"Mexico",2013,"Americas","Central America",8.3675,10725.18332,74.93,13.7,"UM"
"Mexico",2014,"Americas","Central America",8.41339,10922.37605,74.908,13.2,"UM"
"Mexico",2015,"Americas","Central America",8.61576,9605.952351,74.904,12.7,"UM"
"Mexico",2016,"Americas","Central America",8.61157,8739.756043,74.917,12.2,"UM"
"Mexico",2017,"Americas","Central America",8.75461,9278.418168,74.947,11.6,"UM"
"Senegal",2013,"Africa","Western Africa",2.78914,1375.678754,65.939,37.8,"LM"
"Senegal",2017,"Africa","Western Africa",2.84401,1367.218948,67.38,32.8,"L"
"Guatemala",2013,"Americas","Central America",4.8978,3452.922,72.596,25.9,"LM"
"Guatemala",2014,"Americas","Central America",6.62261,3687.836951,72.935,25.1,"LM"
"Oman",2015,"Asia","Western Asia",9.55618,16150.88726,76.887,9.7,"H"
"Peru",2013,"Americas","South America",9.40111,6756.752769,75.258,13.7,"UM"
"Peru",2014,"Americas","South America",9.13771,6672.880255,75.529,13.1,"UM"
"Peru",2015,"Americas","South America",9.08603,6229.101696,75.792,12.5,"UM"
"Malaysia",2016,"Asia","South-Eastern Asia",10.37465,9817.740861,75.649,6.8,"UM"
"Netherlands",2013,"Europe","Western Europe",12.15005,52184.06185,81.30488,3.5,"H"
"Netherlands",2014,"Europe","Western Europe",12.18221,52830.17423,81.70732,3.5,"H"
"Netherlands",2015,"Europe","Western Europe",12.22524,45175.23189,81.50976,3.4,"H"
"Netherlands",2016,"Europe","Western Europe",12.27665,46007.85292,81.56098,3.4,"H"
"Indonesia",2014,"Asia","South-Eastern Asia",7.80215,3491.624791,70.481,24.3,"LM"
"Indonesia",2015,"Asia","South-Eastern Asia",7.91868,3331.695128,70.768,23.5,"LM"
"Indonesia",2016,"Asia","South-Eastern Asia",7.98039,3562.845756,71.035,22.6,"LM"
"United Arab Emirates",2016,"Asia","Western Asia",10.92346,38141.84676,77.47,6.6,"H"
"United Arab Emirates",2017,"Asia","Western Asia",12.11122,39811.6347,77.647,6.6,"H"
"Serbia",2013,"Europe","Southern Europe",10.42275,6755.073675,75.18537,6,"UM"
"Serbia",2014,"Europe","Southern Europe",10.72327,6600.056809,75.33659,5.7,"UM"
"Serbia",2015,"Europe","Southern Europe",11.02531,5585.117938,75.2878,5.5,"UM"
"Serbia",2016,"Europe","Southern Europe",11.13745,5756.381194,75.6878,5.2,"UM"
"Serbia",2017,"Europe","Southern Europe",11.19411,6284.192672,76.0878,5,"UM"
"Greece",2014,"Europe","Southern Europe",10.60381,21760.9798,81.38537,3.6,"H"
"Greece",2015,"Europe","Southern Europe",10.75061,18167.77372,81.03659,3.8,"H"
"Greece",2016,"Europe","Southern Europe",10.26313,18116.45962,81.3878,3.8,"H"
"El Salvador",2013,"Americas","Central America",6.43581,3509.53628,71.935,14.3,"LM"
"El Salvador",2016,"Americas","Central America",6.76871,3800.103302,72.644,12.7,"LM"
"El Salvador",2017,"Americas","Central America",6.87305,3902.242318,72.872,12.2,"LM"
"Cyprus",2013,"Asia","Western Asia",12.06226,27942.30127,79.999,2.4,"H"
"Cyprus",2014,"Asia","Western Asia",11.96018,27407.15286,80.178,2.3,"H"
"Cyprus",2015,"Asia","Western Asia",11.94706,23217.48415,80.35,2.2,"H"
"Cyprus",2016,"Asia","Western Asia",12.17123,24019.13787,80.513,2.1,"H"
"Malta",2013,"Europe","Southern Europe",11.06188,23838.6144,81.74634,6,"H"
"Malta",2014,"Europe","Southern Europe",11.16066,26012.01531,82.04634,6,"H"
"Malta",2015,"Europe","Southern Europe",11.25025,24077.01082,81.89756,6.1,"H"
"Malta",2016,"Europe","Southern Europe",11.32613,25151.51962,82.45366,6.1,"H"
"Bahrain",2016,"Asia","Western Asia",9.25912,22619.11667,76.899,6.4,"H"
"Bahrain",2017,"Asia","Western Asia",9.5192,23715.48275,77.032,6.2,"H"
"Honduras",2014,"Americas","Central America",6.18991,2206.051934,74.278,17.3,"LM"
"Honduras",2015,"Americas","Central America",6.31501,2302.201379,74.495,16.7,"LM"
"Honduras",2016,"Americas","Central America",6.55213,2342.584651,74.701,16.1,"LM"
"Brazil",2013,"Americas","South America",7.37406,12300.32258,74.483,14.9,"UM"
"Brazil",2014,"Americas","South America",7.46925,12112.5903,74.745,14.5,"UM"
"Brazil",2015,"Americas","South America",7.59973,8814.000987,74.994,14,"UM"
"Brazil",2016,"Americas","South America",7.73256,8712.887044,75.23,14.6,"UM"
"Brazil",2017,"Americas","South America",7.8533,9880.946543,75.456,13.2,"UM"
"Mozambique",2015,"Africa","Eastern Africa",3.20018,589.8590281,57.206,59.3,"L"
"Mozambique",2017,"Africa","Eastern Africa",3.06514,461.4150941,59.309,55.5,"L"
"Colombia",2013,"Americas","South America",7.81796,8212.667829,76.105,14.4,"UM"
"Colombia",2014,"Americas","South America",7.97602,8114.084264,76.322,13.9,"UM"
"Colombia",2015,"Americas","South America",8.03163,6175.87603,76.531,13.5,"UM"
"Colombia",2016,"Americas","South America",8.20492,5871.223524,76.732,13.1,"UM"
"Cayman Islands",2014,"Americas","Caribbean",13.69486,74990.43322,NA,NA,"H"
"Cayman Islands",2015,"Americas","Caribbean",13.50126,76280.48625,NA,NA,"H"
"Spain",2014,"Europe","Southern Europe",9.7813,29461.55033,83.22927,2.8,"H"
"Spain",2015,"Europe","Southern Europe",9.97406,25732.01836,82.83171,2.7,"H"
"Spain",2016,"Europe","Southern Europe",10.11584,26505.62433,83.32927,2.7,"H"
"Ecuador",2013,"Americas","South America",8.28354,6056.330827,75.707,13.8,"UM"
"Ecuador",2014,"Americas","South America",8.35642,6377.09153,75.923,13.4,"UM"
"Ecuador",2015,"Americas","South America",8.6958,6124.491643,76.143,13,"UM"
"Ecuador",2016,"Americas","South America",8.68669,6060.093329,76.365,12.7,"UM"
"Ecuador",2017,"Americas","South America",8.75957,6213.501276,76.584,12.5,"UM"
"Cambodia",2014,"Asia","South-Eastern Asia",3.6013,1093.496191,68.273,28.9,"L"
"Cambodia",2015,"Asia","South-Eastern Asia",3.67808,1162.90492,68.637,27.5,"LM"
"Italy",2014,"Europe","Southern Europe",10.10911,35518.41529,83.09024,3,"H"
"Italy",2015,"Europe","Southern Europe",10.18911,30230.2263,82.5439,2.9,"H"
"Argentina",2013,"Americas","South America",10.96858,13080.25473,75.756,11.3,"UM"
"Argentina",2014,"Americas","South America",10.99034,12334.79825,75.913,10.7,"H"
"Argentina",2015,"Americas","South America",10.9999,13789.06042,76.068,10.2,"UM"
"Argentina",2016,"Americas","South America",10.99897,12790.24247,76.221,9.7,"UM"
"Pakistan",2013,"Asia","Southern Asia",4.92937,1208.90431,66.117,65.4,"LM"
"Pakistan",2014,"Asia","Southern Asia",5.1316,1251.164104,66.36,63.7,"LM"
"Pakistan",2016,"Asia","Southern Asia",5.07043,1368.454326,66.77,60.5,"LM"
"Pakistan",2017,"Asia","Southern Asia",5.01642,1464.993305,66.947,58.8,"LM"
"France",2013,"Europe","Western Europe",11.24114,42592.93409,82.21951,3.5,"H"
"France",2014,"Europe","Western Europe",11.28758,43008.64738,82.67073,3.4,"H"
"France",2015,"Europe","Western Europe",11.39887,36613.37522,82.32195,3.4,"H"
"France",2016,"Europe","Western Europe",11.41769,36962.22229,82.52439,3.4,"H"
"France",2017,"Europe","Western Europe",11.4795,38679.12715,82.52439,3.4,"H"
"Philippines",2013,"Asia","South-Eastern Asia",9.14894,2749.386636,70.315,24.2,"LM"
"Philippines",2017,"Asia","South-Eastern Asia",8.45226,2981.934151,70.952,22.9,"LM"
"Poland",2013,"Europe","Eastern Europe",12.94171,13781.06261,77,4.5,"H"
"Poland",2014,"Europe","Eastern Europe",13.00774,14347.91458,77.60244,4.3,"H"
"Poland",2016,"Europe","Eastern Europe",13.18436,12431.57542,77.85122,4,"H"
"Azerbaijan",2013,"Asia","Western Asia",10.50689,7875.756953,71.768,26.8,"UM"
"Azerbaijan",2014,"Asia","Western Asia",10.50845,7891.313147,72.022,25,"UM"
"Azerbaijan",2015,"Asia","Western Asia",10.50663,5500.320497,72.266,23.3,"UM"
"Azerbaijan",2016,"Asia","Western Asia",10.58628,3880.738731,72.493,21.8,"UM"
"Azerbaijan",2017,"Asia","Western Asia",10.57543,4147.089716,72.693,20.4,"UM"
"Turkey",2013,"Asia","Western Asia",7.637,12519.39143,75.784,12.3,"UM"
"Turkey",2014,"Asia","Western Asia",7.80071,12095.85457,76.172,11.5,"UM"
"Turkey",2015,"Asia","Western Asia",7.965,10948.72461,76.532,10.9,"UM"
"Turkey",2016,"Asia","Western Asia",8.10682,10820.63384,76.86,10.3,"UM"
"Turkey",2017,"Asia","Western Asia",8.27803,10513.64842,77.161,9.7,"UM"
"Armenia",2015,"Asia","Western Asia",11.69998,3607.296697,74.467,12.8,"LM"
"Armenia",2017,"Asia","Western Asia",11.30174,3914.501268,74.797,11.6,"UM"
"Kuwait",2013,"Asia","Western Asia",6.68126,49388.20939,74.885,7.9,"H"
"Kuwait",2015,"Asia","Western Asia",7.2858,29869.52939,75.13,7.3,"H"
"Kuwait",2017,"Asia","Western Asia",7.19071,29759.53245,75.311,6.9,"H"
"Uruguay",2013,"Americas","South America",8.53611,16973.67421,77.124,8.2,"H"
"Uruguay",2014,"Americas","South America",8.62804,16831.97294,77.244,7.9,"H"
"Uruguay",2015,"Americas","South America",8.68426,15613.76427,77.369,7.6,"H"
"Uruguay",2016,"Americas","South America",8.71883,15387.14403,77.498,7.2,"H"
"Uruguay",2017,"Americas","South America",8.84796,16437.24487,77.632,6.8,"H"
"Belgium",2013,"Europe","Western Europe",11.64727,46744.66254,80.5878,3.4,"H"
"Belgium",2014,"Europe","Western Europe",11.76037,47700.54036,81.2878,3.3,"H"
"Belgium",2015,"Europe","Western Europe",12.01187,40991.80814,80.99268,3.2,"H"
"Belgium",2016,"Europe","Western Europe",12.10322,42012.0999,81.43902,3.1,"H"
"Belgium",2017,"Europe","Western Europe",12.36665,44219.562,81.43902,3,"H"
"Portugal",2013,"Europe","Southern Europe",8.52837,21647.04181,80.72195,3,"H"
"Portugal",2014,"Europe","Southern Europe",8.99254,22074.30076,81.12195,3,"H"
"Portugal",2015,"Europe","Southern Europe",9.11153,19242.36647,81.12439,3,"H"
"Portugal",2016,"Europe","Southern Europe",9.24068,19978.40121,81.12439,3,"H"
"Portugal",2017,"Europe","Southern Europe",9.34347,21437.3475,81.12439,3.1,"H"
"Israel",2013,"Asia","Western Asia",12.88204,36309.46883,82.0561,3.3,"H"
"Israel",2014,"Asia","Western Asia",12.99947,37678.88977,82.15366,3.2,"H"
"Israel",2015,"Asia","Western Asia",13.04374,35776.79517,82.05122,3.1,"H"
"Zimbabwe",2014,"Africa","Eastern Africa",8.2014,1434.89934,58.41,40.4,"L"
"Zimbabwe",2017,"Africa","Eastern Africa",8.4668,1602.403507,60.812,35.4,"L"
"Chile",2013,"Americas","South America",10.437,15842.94081,79.349,7.1,"H"
"Chile",2015,"Americas","South America",10.25012,13574.17183,79.646,6.7,"H"
"Chile",2017,"Americas","South America",10.58295,15037.35028,79.909,6.3,"H"
"Slovenia",2013,"Europe","Southern Europe",12.46312,23496.60231,80.32195,2.2,"H"
"Slovenia",2014,"Europe","Southern Europe",12.51229,24214.92207,81.07805,2.1,"H"
"Slovenia",2015,"Europe","Southern Europe",12.65874,20881.76677,80.77561,2,"H"
"Slovenia",2016,"Europe","Southern Europe",12.74503,21622.58068,81.17561,1.9,"H"
"Slovenia",2017,"Europe","Southern Europe",12.77084,23442.70428,81.17561,1.8,"H"
"Romania",2013,"Europe","Eastern Europe",10.94982,9555.244217,75.06341,9,"UM"
"Romania",2014,"Europe","Eastern Europe",10.9496,10026.97358,74.90976,8.4,"UM"
"Romania",2015,"Europe","Eastern Europe",10.90831,8977.498544,75.0122,7.8,"UM"
"Romania",2016,"Europe","Eastern Europe",11.00392,9567.097782,75.30976,7.1,"UM"
"Romania",2017,"Europe","Eastern Europe",11.0708,10807.68448,75.30976,6.6,"UM"
"South Africa",2014,"Africa","Southern Africa",10.18879,6433.187277,61.968,32.9,"UM"
"South Africa",2015,"Africa","Southern Africa",10.27425,5734.633629,62.649,31.4,"UM"
"South Africa",2017,"Africa","Southern Africa",10.15481,6132.479841,63.538,29.6,"UM"
"Costa Rica",2014,"Americas","Central America",8.76582,10547.15186,79.398,8,"UM"
"Costa Rica",2015,"Americas","Central America",8.6025,11299.13554,79.565,7.8,"UM"
"Costa Rica",2016,"Americas","Central America",8.582,11666.45591,79.738,7.7,"UM"
"Bhutan",2017,"Asia","Southern Asia",4.0738,3286.574704,71.129,25.6,"LM"
"Switzerland",2014,"Europe","Western Europe",13.92457,86605.51739,83.19756,3.8,"H"
"Switzerland",2015,"Europe","Western Europe",14.00355,82081.60921,82.89756,3.8,"H"
"Switzerland",2016,"Europe","Western Europe",13.95618,80172.1933,83.60244,3.8,"H"
"Thailand",2013,"Asia","South-Eastern Asia",7.90011,6168.264895,75.378,9.9,"UM"
"Thailand",2016,"Asia","South-Eastern Asia",7.9391,5978.611454,76.403,8.6,"UM"
"Hungary",2013,"Europe","Eastern Europe",12.06936,13687.2461,75.56585,4.7,"UM"
"Hungary",2014,"Europe","Eastern Europe",11.83846,14246.1098,75.76341,4.5,"H"
"Hungary",2015,"Europe","Eastern Europe",11.91417,12651.56834,75.56829,4.3,"H"
"Hungary",2016,"Europe","Eastern Europe",11.96329,12992.37567,76.06341,4.1,"H"
"Fiji",2017,"Oceania","Melanesia",10.90163,6101.030839,67.252,21.4,"UM"
"Guinea",2014,"Africa","Western Africa",1.91934,787.2380702,59.016,69.6,"L"
"Burkina Faso",2014,"Africa","Western Africa",1.37322,703.8200556,59.45,55.4,"L"
"Denmark",2013,"Europe","Northern Europe",12.83124,61191.1937,80.3,3.5,"H"
"Denmark",2014,"Europe","Northern Europe",12.47035,62548.98473,80.7,3.5,"H"
"Denmark",2015,"Europe","Northern Europe",12.60896,53254.856,80.70244,3.6,"H"
"Denmark",2016,"Europe","Northern Europe",12.79885,54663.99837,80.85366,3.6,"H"
"Latvia",2013,"Europe","Northern Europe",12.99904,15043.11756,73.98293,5.1,"H"
"Latvia",2014,"Europe","Northern Europe",12.94183,15740.32675,74.12439,4.6,"H"
"Latvia",2015,"Europe","Northern Europe",12.9735,13698.93795,74.48049,4.2,"H"
"Latvia",2016,"Europe","Northern Europe",13.03085,14153.41492,74.58049,3.9,"H"
"Sweden",2013,"Europe","Northern Europe",12.30193,60897.36563,81.9561,2.4,"H"
"Sweden",2014,"Europe","Northern Europe",12.3648,59843.51917,82.25366,2.4,"H"
"Sweden",2015,"Europe","Northern Europe",12.42627,51397.19176,82.20488,2.3,"H"
"Sweden",2016,"Europe","Northern Europe",12.48744,51974.19656,82.30732,2.3,"H"
"Sweden",2017,"Europe","Northern Europe",12.54847,53744.42903,82.30732,2.2,"H"
"Norway",2014,"Europe","Northern Europe",12.78349,97019.18275,82.1,2.3,"H"
"Norway",2015,"Europe","Northern Europe",12.84797,74355.51586,82.30488,2.2,"H"
"Norway",2016,"Europe","Northern Europe",12.89775,70460.56053,82.40732,2.1,"H"
"Norway",2017,"Europe","Northern Europe",13.02868,75496.75406,82.50976,2.1,"H"
"Sri Lanka",2016,"Asia","Southern Asia",10.49987,3886.291502,76.482,7,"LM"
"Sri Lanka",2017,"Asia","Southern Asia",10.56993,4104.630983,76.648,6.7,"LM"
"Estonia",2013,"Europe","Northern Europe",13.95539,19174.10073,77.14146,2.9,"H"
"Estonia",2014,"Europe","Northern Europe",13.85688,20367.10266,77.03415,2.7,"H"
"Estonia",2015,"Europe","Northern Europe",13.90054,17522.23019,77.59024,2.5,"H"
"Estonia",2016,"Europe","Northern Europe",13.92158,18237.29584,77.64146,2.3,"H"
"Estonia",2017,"Europe","Northern Europe",13.96194,20337.84973,77.64146,2.2,"H"
"Canada",2016,"Americas","Northern America",13.77452,42279.90082,82.14224,4.5,"H"
"Bulgaria",2013,"Europe","Eastern Europe",11.09708,7646.839866,74.86098,7.7,"UM"
"Bulgaria",2014,"Europe","Eastern Europe",11.14524,7864.760672,74.46585,7.3,"UM"
"Bulgaria",2015,"Europe","Eastern Europe",11.27833,6993.783483,74.61463,6.9,"UM"
"Bulgaria",2016,"Europe","Eastern Europe",11.32017,7469.455638,74.8122,6.5,"UM"
"Bulgaria",2017,"Europe","Eastern Europe",11.36009,8228.01157,74.8122,6.2,"UM"
"Saudi Arabia",2013,"Asia","Western Asia",9.66341,24844.74437,74.402,8.5,"H"
"Saudi Arabia",2017,"Asia","Western Asia",10.22517,20803.74257,74.874,6.4,"H"
"Rwanda",2014,"Africa","Eastern Africa",4.05784,723.2819733,66.884,32.5,"L"
"Bosnia and Herzegovina",2014,"Europe","Southern Europe",8.91776,5329.635045,76.723,5.4,"UM"
"Bosnia and Herzegovina",2015,"Europe","Southern Europe",9.00841,4727.277381,76.865,5.3,"UM"
"Bosnia and Herzegovina",2016,"Europe","Southern Europe",9.7047,4994.68314,76.998,5.2,"UM"
"Mali",2015,"Africa","Western Africa",1.85022,751.1705935,57.509,67.2,"L"
"Mali",2016,"Africa","Western Africa",1.53046,779.874933,57.987,65.4,"L"
"Bangladesh",2013,"Asia","Southern Asia",5.08167,981.8398792,70.93,33,"L"
"Bangladesh",2014,"Asia","Southern Asia",5.21207,1118.853663,71.231,31.3,"LM"
"Bangladesh",2015,"Asia","Southern Asia",6.01433,1248.453398,71.514,29.6,"LM"
"Bangladesh",2016,"Asia","Southern Asia",6.14372,1401.620628,71.785,28,"LM"
"Bangladesh",2017,"Asia","Southern Asia",6.30279,1563.994082,72.052,26.5,"LM"
"Tajikistan",2017,"Asia","Central Asia",11.36633,806.0415731,70.647,31.3,"L"
"Puerto Rico",2017,"Americas","Caribbean",12.88085,31353.43418,79.63454,NA,"H"
"Luxembourg",2013,"Europe","Western Europe",14.21147,113625.1329,81.8,2.2,"H"
"Luxembourg",2014,"Europe","Western Europe",14.3788,118823.6484,82.22927,2.2,"H"
"Luxembourg",2015,"Europe","Western Europe",13.59589,101376.4966,82.29268,2.1,"H"
"Georgia",2014,"Asia","Western Asia",12.88351,4739.203565,72.707,9.7,"LM"
"Georgia",2016,"Asia","Western Asia",13.08369,4062.169888,73.207,9.1,"LM"
"Georgia",2017,"Asia","Western Asia",13.13296,4357.011625,73.414,8.9,"LM"
"Ireland",2017,"Europe","Northern Europe",11.51636,69649.88274,81.9561,3.2,"H"
"Singapore",2013,"Asia","South-Eastern Asia",11.2085,56967.42579,82.24634,2.2,"H"
"Singapore",2014,"Asia","South-Eastern Asia",11.2757,57562.53079,82.49512,2.2,"H"
"Singapore",2015,"Asia","South-Eastern Asia",11.62752,55646.61875,82.7439,2.2,"H"
"Singapore",2016,"Asia","South-Eastern Asia",11.64641,56724.17039,82.84634,2.2,"H"
"Singapore",2017,"Asia","South-Eastern Asia",11.39785,60297.79378,82.89512,2.2,"H"
"Greenland",2014,"Americas","Northern America",10.73319,50484.92757,71.53841,NA,"H"
"Greenland",2015,"Americas","Northern America",10.75963,44536.40131,71.24634,NA,"H"
"Andorra",2014,"Europe","Southern Europe",10.59014,42300.33413,NA,3.2,"H"
"Andorra",2015,"Europe","Southern Europe",10.51871,36039.6535,NA,3.1,"H"
"Andorra",2016,"Europe","Southern Europe",10.50176,37224.10892,NA,3,"H"
"Uzbekistan",2013,"Asia","Central Asia",11.29974,2281.410973,70.41,26.3,"LM"
"Uzbekistan",2014,"Asia","Central Asia",11.37418,2492.336643,70.671,24.6,"LM"
"Uzbekistan",2015,"Asia","Central Asia",11.38843,2615.025134,70.928,23,"LM"
"Uzbekistan",2016,"Asia","Central Asia",11.70572,2567.799207,71.171,21.5,"LM"
"Iraq",2013,"Asia","Western Asia",7.79195,7076.554608,69.437,26.2,"UM"
"Palau",2013,"Oceania","Micronesia",12.88301,12688.19721,NA,19.4,"UM"
"Burundi",2014,"Africa","Eastern Africa",2.02313,274.8579479,59.665,47.9,"L"
"Burundi",2017,"Africa","Eastern Africa",2.80633,292.9976307,60.898,42.4,"L"
"Tunisia",2016,"Africa","Northern Africa",7.22022,3698.058504,76.115,14.7,"LM"
"New Zealand",2014,"Oceania","Australia and New Zealand",13.2959,44533.78309,81.40488,5,"H"
"New Zealand",2015,"Oceania","Australia and New Zealand",13.25417,38559.54704,81.45683,4.9,"H"
"New Zealand",2016,"Oceania","Australia and New Zealand",13.12645,40026.8522,81.61244,4.9,"H"
"Cabo Verde",2015,"Africa","Western Africa",5.87209,3043.013984,72.117,18.3,"LM"
"Finland",2013,"Europe","Northern Europe",12.62611,49878.04324,80.97561,2.1,"H"
"Finland",2014,"Europe","Northern Europe",12.67839,50260.29986,81.18049,1.9,"H"
"Finland",2015,"Europe","Northern Europe",12.714,42811.21299,81.48049,1.8,"H"
"Finland",2017,"Europe","Northern Europe",12.82413,46191.93116,81.42927,1.5,"H"
"Austria",2013,"Europe","Western Europe",11.89613,50716.70871,81.13659,3.2,"H"
"Austria",2014,"Europe","Western Europe",12.09369,51717.49594,81.49024,3.1,"H"
"Austria",2015,"Europe","Western Europe",12.17804,44178.04738,81.19024,3,"H"
"Austria",2016,"Europe","Western Europe",12.18703,45237.80509,81.64146,3,"H"
"Austria",2017,"Europe","Western Europe",12.26163,47431.63061,81.64146,2.9,"H"
"Angola",2014,"Africa","Middle Africa",3.99596,5408.410496,58.776,60.5,"UM"
